                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5564,                 42.433,                 2.1349,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.9693,                  4.598,                 3.3765,                0.00066,                0.00066,                0.00066
                      2,                 2.9224,                 5.1546,                 2.3885,                0.00031,                 0.0303,                0.00022,                  4e-05,                 3.1043,                 5.0038,                 2.7636,              0.0013135,              0.0013135,              0.0013135
                      3,                  2.715,                 4.7143,                 2.3277,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.8123,                  4.918,                 2.5655,              0.0019539,              0.0019539,              0.0019539
                      4,                 2.4131,                 4.4914,                  2.192,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.7587,                  4.627,                  2.705,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5415,                 4.7478,                 2.3154,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.9387,                  4.757,                 2.6892,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.5137,                 4.6795,                 2.2771,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.5873,                  4.786,                 2.4636,               0.001901,               0.001901,               0.001901
                      7,                 2.8419,                 4.8878,                 2.4556,                0.00031,                 0.0303,                0.00022,                  4e-05,                 3.1584,                 4.9332,                 3.0844,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6355,                 4.6668,                 2.2785,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.5541,                 5.0046,                 2.4382,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.6352,                 4.7435,                 2.3581,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.6025,                 4.7209,                 2.4122,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.6646,                 4.8504,                 2.3741,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.6677,                 4.7261,                 2.4623,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.9986,                 5.0485,                 2.5166,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.6426,                 4.7569,                 2.3401,               0.001802,               0.001802,               0.001802
                     12,                 2.7198,                 4.7166,                 2.3543,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.5189,                 4.6445,                 2.3783,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.6636,                 4.9733,                 2.3641,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.2776,                 3.9545,                 2.2769,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.6494,                 4.7155,                  2.263,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.6127,                 5.1379,                 2.4354,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7773,                 4.9985,                 2.4916,                0.00031,                 0.0303,                0.00022,                  4e-05,                 3.0021,                 4.8113,                 2.9569,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.4579,                 4.5727,                 2.2019,                0.00031,                 0.0303,                0.00022,                  4e-05,                  2.495,                 4.8667,                  2.415,               0.001703,               0.001703,               0.001703
                     17,                 2.6678,                 4.8157,                 2.3777,                0.00031,                 0.0303,                0.00022,                  4e-05,                  2.571,                 4.7863,                 2.3611,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.7101,                 4.7942,                 2.4049,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.4601,                 4.3955,                 2.6306,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.4745,                 4.7556,                 2.2581,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.4756,                 5.3114,                 2.5214,              0.0016436,              0.0016436,              0.0016436
                     20,                   2.49,                 4.7413,                 2.3096,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.5128,                 4.8901,                 2.3503,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.6451,                 4.8283,                 2.3454,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.5272,                 4.6568,                 2.4219,               0.001604,               0.001604,               0.001604
                     22,                 2.4348,                 4.3854,                 2.1416,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.4488,                  5.431,                 2.3854,              0.0015842,              0.0015842,              0.0015842
                     23,                  2.542,                 4.8132,                 2.2521,                0.00031,                 0.0303,                0.00022,                  4e-05,                 2.4994,                  4.728,                  2.429,              0.0015644,              0.0015644,              0.0015644
