                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3125,                 17.226,                 2.0798,                      0,                      0,                      0,                      0,                 3.6022,                 8.0414,                 1.9461,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 3.3904,                 15.922,                  2.087,                      0,                      0,                      0,                      0,                 3.5924,                 7.9837,                 1.9404,             2.1208e-05,             2.1208e-05,             2.1208e-05
                      3,                 4.8076,                 21.354,                 2.2987,                      0,                      0,                      0,                      0,                 3.5149,                 7.8227,                 1.9366,             3.4993e-05,             3.4993e-05,             3.4993e-05
                      4,                 3.4402,                 7.6477,                 1.8989,                0.00056,                0.04762,                0.00029,                  3e-05,                 3.5408,                 7.9692,                  1.916,             4.8496e-05,             4.8496e-05,             4.8496e-05
                      5,                 4.1744,                 19.766,                 2.0125,                0.00056,                0.04762,                0.00029,                  3e-05,                 3.5493,                 8.0403,                 1.8978,             6.1715e-05,             6.1715e-05,             6.1715e-05
                      6,                 4.6278,                 17.425,                  2.123,                0.00056,                0.04762,                0.00029,                  3e-05,                 3.5442,                 8.0572,                 1.8924,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      7,                 4.3666,                  16.25,                 2.4209,                0.00056,                0.04762,                0.00029,                  3e-05,                 3.4885,                 8.0127,                  1.909,             8.7306e-05,             8.7306e-05,             8.7306e-05
                      8,                 4.1466,                 15.091,                 1.9567,                0.00755,                0.09524,                0.00253,                0.00053,                 2.9304,                 48.979,                 1.3614,             9.9678e-05,             9.9678e-05,             9.9678e-05
                      9,                 3.9217,                 10.759,                 1.9485,                0.00755,                0.09524,                0.00253,                0.00053,                 2.9502,                 36.739,                 1.4869,             0.00011177,             0.00011177,             0.00011177
                     10,                 2.9379,                 5.6833,                 1.2707,                0.00056,                0.04762,                0.00029,                  9e-05,                 2.6596,                 17.449,                 1.3812,             0.00012357,             0.00012357,             0.00012357
                     11,                 2.9721,                  4.302,                 1.2943,                 0.0282,                 0.2381,                0.01058,                0.00394,                 2.5402,                 21.284,                 1.3064,              0.0001351,              0.0001351,              0.0001351
                     12,                  3.311,                 4.2537,                 1.3669,                0.01602,                0.28571,                0.00899,                0.00305,                 2.4163,                 103.33,                 1.2688,             0.00014634,             0.00014634,             0.00014634
                     13,                 2.3338,                 2.9584,                  1.104,                0.01812,                0.47619,                0.01269,                0.00429,                 2.3054,                 381.44,                 1.1627,             0.00015729,             0.00015729,             0.00015729
                     14,                 2.8721,                 4.6591,                 1.1359,                0.00222,                0.19048,                0.00138,                0.00065,                  2.271,                 837.66,                 1.1545,             0.00016797,             0.00016797,             0.00016797
                     15,                 2.4735,                  3.851,                 1.2973,                0.00504,                0.33333,                0.00316,                 0.0016,                  2.335,                    inf,                 1.1729,             0.00017836,             0.00017836,             0.00017836
                     16,                 2.2955,                 3.0391,                 1.1236,                0.00913,                0.38095,                0.00529,                0.00218,                 2.3617,                    inf,                 1.1683,             0.00018847,             0.00018847,             0.00018847
                     17,                 2.3898,                 3.3053,                 1.1473,                0.00554,                0.33333,                0.00357,                0.00146,                 2.3896,                    inf,                 1.2033,              0.0001983,              0.0001983,              0.0001983
                     18,                 2.4111,                 3.0024,                 1.1429,                0.00554,                0.33333,                0.00357,                0.00146,                 2.4005,                    inf,                  1.239,             0.00020784,             0.00020784,             0.00020784
                     19,                 2.5082,                  3.117,                 1.3078,                0.00649,                0.33333,                0.00455,                0.00221,                 2.2755,                    inf,                 1.2657,              0.0002171,              0.0002171,              0.0002171
                     20,                 2.1331,                 2.7023,                 1.1769,                0.00834,                0.33333,                0.00578,                0.00279,                 2.4549,                    inf,                 1.4046,             0.00022608,             0.00022608,             0.00022608
                     21,                 2.1846,                 2.2826,                 1.1868,                 0.0063,                0.28571,                0.00479,                0.00236,                 2.2675,                    inf,                 1.2932,             0.00023478,             0.00023478,             0.00023478
                     22,                 2.3883,                 2.4561,                 1.1762,                0.00611,                0.52381,                0.00537,                0.00244,                 2.0343,                    nan,                 1.1777,             0.00024319,             0.00024319,             0.00024319
                     23,                  1.777,                 1.7745,                 1.0234,                0.00725,                0.61905,                0.00734,                0.00294,                 2.1811,                    nan,                 1.1983,             0.00025132,             0.00025132,             0.00025132
                     24,                 1.8448,                  2.045,                 1.0173,                0.00773,                0.42857,                 0.0066,                0.00258,                 2.2256,                    inf,                 1.2367,             0.00025917,             0.00025917,             0.00025917
                     25,                 1.7301,                 1.6609,                0.96349,                0.00628,                0.33333,                0.00445,                 0.0018,                 2.4264,                    inf,                 1.3263,             0.00026673,             0.00026673,             0.00026673
                     26,                 1.9539,                 1.5753,                 1.0844,                0.00559,                0.33333,                0.00492,                0.00189,                  2.445,                    inf,                 1.3124,             0.00027402,             0.00027402,             0.00027402
                     27,                 1.8534,                 1.6938,                 1.0395,                0.00667,                0.28571,                0.00633,                0.00238,                 2.1336,                    inf,                 1.2112,             0.00028101,             0.00028101,             0.00028101
                     28,                 1.9657,                 1.5794,                 1.0767,                0.00667,                0.28571,                0.00633,                0.00238,                 2.1336,                    inf,                 1.2112,             0.00028773,             0.00028773,             0.00028773
                     29,                 2.0156,                 1.7326,                 1.0099,                0.00899,                0.38095,                0.00652,                0.00252,                 2.1096,                    inf,                 1.2221,             0.00029417,             0.00029417,             0.00029417
                     30,                   2.11,                 1.7099,                 1.0468,                0.01178,                0.33333,                0.00784,                0.00313,                 2.1753,                  179.4,                 1.2824,             0.00030032,             0.00030032,             0.00030032
                     31,                 2.0853,                 1.8999,                0.98213,                0.01178,                0.33333,                0.00784,                0.00313,                 2.1753,                  179.4,                 1.2824,             0.00030618,             0.00030618,             0.00030618
                     32,                 1.7694,                   1.75,                 1.0631,                0.03024,                0.19048,                0.01394,                0.00647,                 2.0414,                 17.113,                 1.1952,             0.00031177,             0.00031177,             0.00031177
