                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0469,                 3.4448,                 2.1434,                0.00818,                    0.4,                0.10503,                0.03227,                  1.747,                 3.5642,                  2.474,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.0524,                 3.3327,                 2.1733,                0.00783,                  0.425,                0.06406,                0.01958,                 1.7969,                 3.5773,                 2.5898,                5.5e-05,                5.5e-05,                5.5e-05
                      3,                 1.9078,                  3.399,                 2.2203,                0.00939,                  0.425,                0.05023,                0.01722,                 1.9205,                 3.6039,                 2.6837,              8.712e-05,              8.712e-05,              8.712e-05
                      4,                 1.8986,                 3.3932,                 2.0733,                0.01682,                  0.475,                0.04368,                0.01451,                 2.0573,                 3.6342,                  2.758,             0.00011858,             0.00011858,             0.00011858
                      5,                 1.8287,                 3.4508,                 2.1755,                0.02869,                    0.7,                0.19762,                0.08493,                 1.9541,                 3.5507,                 2.7308,             0.00014938,             0.00014938,             0.00014938
                      6,                 1.6981,                 3.2157,                 2.1135,                0.02263,                  0.725,                0.37938,                0.19305,                 1.8378,                 3.4684,                 2.6545,             0.00017952,             0.00017952,             0.00017952
                      7,                 1.3858,                 3.1123,                 1.6441,                0.01947,                    0.8,                0.43275,                0.26854,                 1.5713,                 3.3744,                 2.2723,               0.000209,               0.000209,               0.000209
                      8,                 1.3643,                 2.9603,                 1.6536,                0.01894,                  0.775,                0.44422,                 0.2841,                 1.4271,                  3.316,                 2.0982,             0.00023782,             0.00023782,             0.00023782
                      9,                 1.4321,                 2.8312,                 1.7139,                0.02129,                    0.8,                0.47427,                0.31849,                 1.3067,                 3.1715,                 1.8803,             0.00026598,             0.00026598,             0.00026598
                     10,                 1.1594,                 2.5335,                 1.4405,                0.02263,                    0.8,                0.47686,                0.31932,                 1.2647,                  3.064,                 1.8022,             0.00029348,             0.00029348,             0.00029348
                     11,                 1.3027,                 2.4251,                 1.6775,                 0.0224,                  0.825,                0.51309,                0.36211,                 1.1876,                 2.8052,                 1.6904,             0.00032032,             0.00032032,             0.00032032
                     12,                  1.272,                 2.3361,                  1.649,                 0.7546,                    0.4,                 0.5519,                0.36646,                 1.1996,                  2.709,                 1.6951,              0.0003465,              0.0003465,              0.0003465
                     13,                 1.1866,                 2.3774,                 1.5527,                0.79015,                0.35345,                0.50545,                0.33467,                 1.3016,                 2.5116,                 1.7396,             0.00037203,             0.00037203,             0.00037203
                     14,                 1.1287,                 2.0317,                  1.492,                0.80151,                0.40538,                0.57437,                0.35946,                 1.2757,                 2.4103,                 1.7417,             0.00039689,             0.00039689,             0.00039689
                     15,                 1.4966,                 1.9288,                 1.8797,                0.77858,                0.61838,                0.59467,                 0.3841,                 1.3159,                 2.1346,                 1.7516,             0.00042109,             0.00042109,             0.00042109
                     16,                 1.3349,                  1.947,                  1.732,                 0.7227,                0.63001,                0.58122,                0.38017,                 1.3673,                 2.0679,                  1.856,             0.00044463,             0.00044463,             0.00044463
                     17,                 1.2179,                 1.7638,                 1.4772,                 0.6897,                 0.6584,                0.58944,                0.36808,                 1.4396,                 1.9134,                 1.8543,             0.00046751,             0.00046751,             0.00046751
                     18,                 1.1405,                 1.7537,                  1.472,                0.63718,                0.59469,                 0.5518,                0.36471,                 1.3837,                 1.8864,                 1.7726,             0.00048973,             0.00048973,             0.00048973
                     19,                 1.1188,                 1.6981,                 1.4916,                0.64946,                0.62144,                0.50859,                0.34296,                 1.4223,                 1.9308,                 1.7508,             0.00051129,             0.00051129,             0.00051129
                     20,                 1.5573,                 1.7576,                 1.9215,                0.68241,                0.61665,                 0.5017,                0.31404,                 1.4613,                 1.9823,                  1.834,             0.00053219,             0.00053219,             0.00053219
                     21,                 1.0907,                 1.5917,                 1.4091,                0.68001,                0.66888,                0.50986,                0.32557,                  1.425,                 2.0374,                 1.8354,             0.00055243,             0.00055243,             0.00055243
                     22,                  1.153,                 1.5795,                 1.4945,                0.72264,                0.62869,                0.54864,                0.35471,                  1.471,                 1.9561,                 1.9199,             0.00057202,             0.00057202,             0.00057202
                     23,                 1.2691,                 1.6655,                 1.6391,                 0.6667,                   0.55,                0.53308,                0.34469,                 1.4689,                 1.9008,                 1.8774,             0.00059094,             0.00059094,             0.00059094
                     24,                 1.2972,                 1.9518,                 1.7426,                0.68319,                  0.625,                0.52465,                0.35605,                 1.4054,                 1.8661,                 1.7605,              0.0006092,              0.0006092,              0.0006092
                     25,                 1.3249,                 1.6087,                 1.5069,                0.61193,                0.71126,                0.55938,                0.34428,                 1.5154,                 1.9986,                 1.9061,              0.0006268,              0.0006268,              0.0006268
                     26,                 1.1815,                 1.6925,                 1.5906,                0.63721,                0.66982,                0.49793,                0.29655,                 1.4329,                 2.0965,                 1.8162,             0.00064374,             0.00064374,             0.00064374
                     27,                 1.3167,                 1.7075,                 1.6676,                0.60897,                0.71097,                0.52239,                0.32948,                 1.3026,                 2.0585,                 1.6986,             0.00066002,             0.00066002,             0.00066002
                     28,                0.98953,                 1.3247,                 1.3013,                0.72817,                0.63399,                0.67591,                0.44221,                 1.2317,                  2.121,                 1.6522,             0.00067564,             0.00067564,             0.00067564
                     29,                0.97672,                  1.359,                 1.3602,                0.72817,                0.63399,                0.67591,                0.44221,                 1.2317,                  2.121,                 1.6522,             0.00069061,             0.00069061,             0.00069061
                     30,                0.97564,                 1.3715,                 1.3528,                0.85582,                  0.625,                0.70094,                0.52547,                 1.0784,                 1.8323,                 1.5017,             0.00070491,             0.00070491,             0.00070491
                     31,                 1.0657,                 1.3283,                 1.3905,                0.92862,                0.58612,                0.69613,                0.51929,                 1.0095,                 1.6643,                 1.4544,             0.00071855,             0.00071855,             0.00071855
                     32,                0.89892,                 1.2593,                 1.4226,                0.92389,                0.54611,                0.65219,                 0.4723,                 1.1377,                  1.554,                 1.5946,             0.00073153,             0.00073153,             0.00073153
                     33,                 0.9599,                 1.2056,                  1.351,                0.92389,                0.54611,                0.65219,                 0.4723,                 1.1377,                  1.554,                 1.5946,             0.00074385,             0.00074385,             0.00074385
                     34,                 1.0369,                 1.3679,                 1.4311,                0.70656,                  0.625,                0.62284,                0.47026,                 1.1453,                 1.5193,                 1.6148,             0.00074804,             0.00074804,             0.00074804
                     35,                0.99636,                 1.2449,                 1.3719,                0.84449,                 0.5441,                0.68237,                 0.4969,                 1.1783,                 1.5303,                 1.6566,             0.00073704,             0.00073704,             0.00073704
                     36,                0.94765,                 1.2269,                 1.3445,                 0.8566,                0.59873,                0.67783,                0.50084,                  1.154,                 1.5346,                 1.6506,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.1819,                 1.2576,                 1.5245,                 0.8566,                0.59873,                0.67783,                0.50084,                  1.154,                 1.5346,                 1.6506,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.1828,                 1.4269,                 1.6011,                0.86776,                    0.6,                0.70053,                0.51287,                 1.1454,                 1.5397,                 1.6438,             0.00070404,             0.00070404,             0.00070404
                     39,                0.91993,                  1.161,                 1.2917,                0.79775,                0.62202,                0.66253,                0.50104,                 1.1743,                 1.8353,                 1.6603,             0.00069304,             0.00069304,             0.00069304
                     40,                0.95242,                 1.3171,                 1.3328,                0.49376,                    0.7,                0.63372,                0.48542,                  1.166,                 1.8942,                  1.644,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.2138,                 1.4345,                 1.5994,                0.49376,                    0.7,                0.63372,                0.48542,                  1.166,                 1.8942,                  1.644,             0.00067104,             0.00067104,             0.00067104
                     42,                0.92627,                 1.1994,                 1.3619,                0.60159,                0.72106,                0.71856,                0.53874,                 1.1266,                 1.7444,                 1.5934,             0.00066005,             0.00066005,             0.00066005
                     43,                0.89883,                 1.3479,                  1.316,                0.68933,                  0.775,                0.77162,                0.58162,                 1.1074,                 1.4898,                  1.568,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.0124,                 1.2335,                  1.364,                0.85613,                 0.6728,                0.80486,                0.57508,                 1.0966,                 1.5426,                 1.5912,             0.00063805,             0.00063805,             0.00063805
                     45,                   1.07,                 1.3921,                 1.4325,                0.85613,                 0.6728,                0.80486,                0.57508,                 1.0966,                 1.5426,                 1.5912,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.0029,                 1.2028,                 1.2893,                0.72329,                0.82445,                0.81209,                0.59671,                 1.0205,                 1.5928,                  1.551,             0.00061605,             0.00061605,             0.00061605
                     47,                0.98265,                 1.1941,                 1.2804,                 0.6518,                0.79877,                0.79595,                0.58478,                 1.0699,                  1.727,                 1.6301,             0.00060505,             0.00060505,             0.00060505
                     48,                0.84379,                 1.0736,                 1.2178,                0.64722,                 0.8401,                 0.7951,                0.58712,                 1.1132,                 1.7075,                 1.6548,             0.00059405,             0.00059405,             0.00059405
                     49,                0.79093,                 1.0639,                 1.1938,                0.64722,                 0.8401,                 0.7951,                0.58712,                 1.1132,                 1.7075,                 1.6548,             0.00058305,             0.00058305,             0.00058305
                     50,                0.99322,                 1.3643,                 1.3851,                0.62936,                0.75513,                0.75963,                0.58684,                 1.0462,                 1.6836,                 1.5656,             0.00057205,             0.00057205,             0.00057205
                     51,                0.90054,                 1.1818,                 1.2605,                0.60931,                0.70015,                0.73835,                0.56472,                 1.0305,                 1.5995,                 1.5503,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.1367,                 1.2651,                 1.5213,                0.60194,                  0.725,                0.77731,                0.56773,                 1.0843,                  1.569,                 1.6226,             0.00055006,             0.00055006,             0.00055006
                     53,                0.79248,                 1.0364,                 1.2732,                0.60194,                  0.725,                0.77731,                0.56773,                 1.0843,                  1.569,                 1.6226,             0.00053906,             0.00053906,             0.00053906
                     54,                0.92843,                 1.1572,                 1.4009,                0.59199,                0.80498,                0.79409,                0.60551,                 1.0617,                 1.4122,                 1.5942,             0.00052806,             0.00052806,             0.00052806
                     55,                0.81787,                 1.0388,                 1.2158,                0.65127,                    0.9,                0.80339,                0.62598,                 1.0302,                 1.2906,                 1.5477,             0.00051706,             0.00051706,             0.00051706
                     56,                0.87919,                  1.005,                 1.2939,                0.71776,                  0.875,                  0.822,                0.63371,                 1.0298,                 1.1541,                 1.5602,             0.00050606,             0.00050606,             0.00050606
                     57,                0.84832,                0.98213,                 1.2312,                0.71776,                  0.875,                  0.822,                0.63371,                 1.0298,                 1.1541,                 1.5602,             0.00049506,             0.00049506,             0.00049506
                     58,                0.84442,                 1.1082,                 1.3201,                0.83844,                0.84407,                0.84173,                0.63876,                 1.0176,                   1.09,                  1.569,             0.00048406,             0.00048406,             0.00048406
                     59,                0.98666,                 1.0774,                 1.3215,                0.78324,                0.83173,                0.82632,                0.63975,                 1.0189,                 1.0934,                  1.556,             0.00047306,             0.00047306,             0.00047306
                     60,                0.78744,                0.94456,                 1.2807,                0.96498,                0.75558,                 0.8109,                 0.6368,                0.99239,                 1.1334,                 1.5392,             0.00046206,             0.00046206,             0.00046206
                     61,                0.88986,                0.99835,                 1.2956,                0.96498,                0.75558,                 0.8109,                 0.6368,                0.99239,                 1.1334,                 1.5392,             0.00045107,             0.00045107,             0.00045107
                     62,                 0.8276,                  1.102,                 1.3837,                0.91125,                 0.7174,                0.77661,                0.62473,                0.95474,                 1.1885,                 1.5103,             0.00044007,             0.00044007,             0.00044007
                     63,                 0.8857,                0.94392,                 1.2391,                0.90238,                0.76569,                0.78693,                0.65084,                0.96674,                 1.1957,                 1.4916,             0.00042907,             0.00042907,             0.00042907
                     64,                0.86045,                0.99829,                 1.2944,                0.91061,                0.78391,                0.81473,                0.66517,                0.98011,                 1.2068,                 1.4848,             0.00041807,             0.00041807,             0.00041807
                     65,                0.74144,                0.93187,                 1.1715,                0.91061,                0.78391,                0.81473,                0.66517,                0.98011,                 1.2068,                 1.4848,             0.00040707,             0.00040707,             0.00040707
                     66,                0.71508,                 1.0326,                 1.1886,                0.87139,                0.77141,                0.82023,                0.66936,                0.94743,                 1.1697,                 1.4577,             0.00039607,             0.00039607,             0.00039607
                     67,                 0.7166,                0.87997,                 1.1985,                0.93524,                0.77898,                 0.8444,                0.68575,                0.95114,                 1.0771,                 1.4475,             0.00038507,             0.00038507,             0.00038507
                     68,                0.71447,                0.87122,                 1.1994,                0.78461,                0.83655,                0.86171,                0.68188,                0.94684,                 1.0166,                  1.443,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.0192,                 1.2169,                 1.4498,                0.78461,                0.83655,                0.86171,                0.68188,                0.94684,                 1.0166,                  1.443,             0.00036307,             0.00036307,             0.00036307
                     70,                 0.7118,                0.86475,                 1.2032,                0.79269,                  0.825,                0.82789,                0.65495,                0.94615,                 1.0274,                 1.4573,             0.00035208,             0.00035208,             0.00035208
                     71,                0.84883,                0.98314,                 1.2239,                 0.9637,                0.79857,                0.82754,                0.65585,                0.94666,                 1.0505,                 1.4571,             0.00034108,             0.00034108,             0.00034108
                     72,                 0.7484,                0.92706,                 1.2242,                0.98939,                0.76796,                0.82659,                0.65336,                0.92867,                 1.0301,                 1.4329,             0.00033008,             0.00033008,             0.00033008
                     73,                0.78431,                 1.0216,                 1.2435,                0.98939,                0.76796,                0.82659,                0.65336,                0.92867,                 1.0301,                 1.4329,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.0642,                 1.4098,                 1.5199,                0.80665,                0.81513,                0.82302,                 0.6505,                0.94765,                 1.0309,                 1.4398,             0.00030808,             0.00030808,             0.00030808
                     75,                0.68889,                0.86349,                 1.1628,                0.78194,                 0.7702,                0.82165,                0.65254,                0.94516,                 1.0431,                 1.4469,             0.00029708,             0.00029708,             0.00029708
                     76,                0.79904,                0.83984,                 1.1913,                 0.7699,                0.78061,                0.82397,                0.66576,                0.95375,                 1.0588,                   1.45,             0.00028608,             0.00028608,             0.00028608
                     77,                 0.7993,                0.98271,                  1.185,                 0.7699,                0.78061,                0.82397,                0.66576,                0.95375,                 1.0588,                   1.45,             0.00027508,             0.00027508,             0.00027508
                     78,                0.82801,                0.97967,                 1.1579,                0.81049,                0.81328,                0.84237,                0.68292,                0.94569,                 1.0224,                 1.4381,             0.00026408,             0.00026408,             0.00026408
                     79,                0.73202,                0.87467,                 1.1889,                0.77161,                0.81677,                0.87654,                0.69231,                0.89259,                0.95685,                 1.4029,             0.00025309,             0.00025309,             0.00025309
